,name,team,innings,ballsfaced,batting_sr,batting_avg,PaPP0,PaPPW,PaPP6,PaPP4,PaPP1,PaPPE,PaPP2,PaPP3,PaPP5,PaMO0,PaMOW,PaMO6,PaMO4,PaMO1,PaMOE,PaMO2,PaMO3,PaMO5,PaDO0,PaDOW,PaDO6,PaDO4,PaDO1,PaDOE,PaDO2,PaDO3,PaDO5,SpPP0,SpPPW,SpPP6,SpPP4,SpPP1,SpPPE,SpPP2,SpPP3,SpPP5,SpMO0,SpMOW,SpMO6,SpMO4,SpMO1,SpMOE,SpMO2,SpMO3,SpMO5,SpDO0,SpDOW,SpDO6,SpDO4,SpDO1,SpDOE,SpDO2,SpDO3,SpDO5,type
170,JDF Vandersay,Sri Lanka,1,3,166.67,-,411 - 533,-,-,534 - 621,622 - 666,-,-,-,-,411 - 533,-,-,534 - 621,622 - 666,-,-,-,-,411 - 533,-,-,534 - 621,622 - 666,-,-,-,-,411 - 533,-,-,534 - 621,622 - 666,-,-,-,-,411 - 533,-,-,534 - 621,622 - 666,-,-,-,-,411 - 533,-,-,534 - 621,622 - 666,-,-,-,-,Bowler
171,JDS Neesham,New Zealand,23,219,175.34,27.43,411 - 426,431 - 442,443 - 463,464 - 532,533 - 641,-,642 - 666,-,-,411 - 426,431 - 442,443 - 463,464 - 532,533 - 641,-,642 - 666,-,-,411 - 432,433 - 441,442 - 463,464 - 523,524 - 615,616 - 644,645 - 666,-,-,411 - 512,513 - 524,525 - 532,533 - 536,541 - 632,633 - 651,652 - 666,-,-,411 - 512,513 - 524,525 - 532,533 - 536,541 - 632,633 - 651,652 - 666,-,-,-,411 - 422,423 - 463,464 - 515,516 - 556,561 - 612,613 - 666,-,-,Allrounder
172,JH Davey,Scotland,4,21,133.33,14.0,411 - 453,-,-,-,454 - 623,624 - 666,-,-,-,411 - 453,-,-,-,454 - 623,624 - 666,-,-,-,411 - 421,422 - 433,434 - 445,446 - 512,513 - 631,632 - 643,644 - 666,-,-,-,411 - 453,-,-,454 - 623,624 - 666,-,-,-,-,411 - 453,-,-,454 - 623,624 - 666,-,-,-,411 - 421,422 - 433,434 - 445,446 - 512,513 - 631,632 - 643,644 - 666,-,-,Bowler
173,JJ Roy,England,26,488,129.51,25.28,411 - 531,532 - 534,535 - 541,542 - 561,562 - 645,646 - 656,661 - 665,-,666 - 666,411 - 425,426 - 455,456 - 464,465 - 522,523 - 631,632 - 654,655 - 666,-,-,411 - 425,426 - 455,456 - 464,465 - 522,523 - 631,632 - 654,655 - 666,-,-,411 - 462,463 - 511,512 - 532,533 - 556,561 - 663,664 - 664,665 - 666,-,-,411 - 441,442 - 453,454 - 465,466 - 536,541 - 651,652 - 656,661 - 666,-,-,411 - 441,442 - 453,454 - 465,466 - 536,541 - 651,652 - 656,661 - 666,-,-,
174,JJ Smit,Namibia,12,129,116.28,30.0,411 - 615,616 - 622,-,623 - 631,632 - 654,655 - 663,664 - 666,-,-,411 - 615,616 - 622,-,623 - 631,632 - 654,655 - 663,664 - 666,-,-,411 - 512,513 - 514,515 - 523,524 - 544,545 - 631,632 - 651,652 - 666,-,-,411 - 533,534 - 542,543 - 544,545 - 546,551 - 643,-,644 - 666,-,-,411 - 533,534 - 542,543 - 544,545 - 546,551 - 643,-,644 - 666,-,-,411 - 552,553 - 561,562 - 614,-,615 - 666,-,-,-,-,Allrounder
175,JM Bairstow,England,20,309,129.45,26.67,411 - 545,546 - 553,554 - 555,556 - 613,614 - 651,652 - 661,662 - 666,-,-,411 - 445,446 - 454,455 - 456,461 - 521,522 - 641,642 - 653,654 - 666,-,-,411 - 414,415 - 423,424 - 444,445 - 531,532 - 623,624 - 653,654 - 666,-,-,411 - 454,455 - 541,-,542 - 623,624 - 666,-,-,-,-,411 - 444,445 - 452,453 - 465,466 - 514,515 - 645,646 - 653,654 - 666,-,-,411 - 563,564 - 615,616 - 631,632 - 654,655 - 666,-,-,-,-,WK Batter
176,JM Vince,England,5,86,143.02,24.6,411 - 533,534 - 536,541 - 546,551 - 623,624 - 646,-,651 - 666,-,-,411 - 464,-,465 - 514,515 - 532,533 - 663,-,664 - 666,-,-,411 - 464,-,465 - 514,515 - 532,533 - 663,-,664 - 666,-,-,411 - 516,521 - 554,-,555 - 632,-,-,633 - 666,-,-,411 - 453,454 - 531,532 - 542,543 - 565,566 - 643,-,644 - 666,-,-,411 - 453,454 - 531,532 - 542,543 - 565,566 - 643,-,644 - 666,-,-,
177,JN Frylinck,Namibia,11,165,92.12,16.89,411 - 621,-,-,622 - 635,636 - 666,-,-,-,-,411 - 465,466 - 514,-,515 - 525,526 - 641,-,642 - 664,665 - 666,-,411 - 454,455 - 511,512 - 513,514 - 521,522 - 565,566 - 632,633 - 662,663 - 664,665 - 666,411 - 621,-,-,622 - 635,636 - 666,-,-,-,-,411 - 515,516 - 522,-,-,523 - 634,635 - 651,652 - 666,-,-,411 - 453,454 - 466,-,-,511 - 636,641 - 653,654 - 666,-,-,Allrounder
178,JN Loftie-Eaton,Namibia,12,113,101.77,10.45,411 - 464,465 - 521,522 - 525,526 - 546,551 - 643,644 - 645,646 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 523,524 - 534,-,-,535 - 633,634 - 644,645 - 666,-,-,411 - 543,544 - 553,554 - 563,-,564 - 635,636 - 645,646 - 666,-,-,-,411 - 434,-,435 - 443,444 - 632,633 - 651,652 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,Batter
179,JN Malan,South Africa,9,149,138.26,22.89,411 - 513,514 - 521,522 - 534,535 - 613,614 - 662,663 - 665,666 - 666,-,-,411 - 422,423 - 431,-,432 - 453,454 - 635,-,636 - 666,-,-,411 - 422,423 - 431,-,432 - 453,454 - 635,-,636 - 666,-,-,411 - 514,515 - 524,525 - 541,542 - 551,552 - 663,-,664 - 666,-,-,411 - 423,424 - 516,-,521 - 535,536 - 666,-,-,-,-,411 - 423,424 - 516,-,521 - 535,536 - 666,-,-,-,-,
180,JO Holder,West Indies,22,234,117.09,17.12,411 - 666,-,-,-,-,-,-,-,-,411 - 461,462 - 514,515 - 532,533 - 541,542 - 642,643 - 651,652 - 666,-,-,-,411 - 426,431 - 446,451 - 516,521 - 656,-,661 - 666,-,-,411 - 554,555 - 666,-,-,-,-,-,-,-,411 - 531,532 - 535,536 - 544,545 - 553,554 - 656,661 - 662,663 - 666,-,-,411 - 623,-,624 - 631,-,632 - 654,655 - 666,-,-,-,Allrounder
181,JP Behrendorff,Australia,1,7,71.43,5.0,411 - 546,551 - 564,-,-,-,565 - 635,636 - 666,-,-,411 - 546,551 - 564,-,-,-,565 - 635,636 - 666,-,-,411 - 546,551 - 564,-,-,-,565 - 635,636 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,
182,JP Inglis,Australia,9,156,141.03,27.5,411 - 554,-,-,555 - 613,614 - 651,-,652 - 666,-,-,411 - 455,456 - 462,-,463 - 523,524 - 633,634 - 645,646 - 666,-,-,-,411 - 466,511 - 566,-,611 - 666,-,-,-,-,411 - 463,-,-,464 - 544,545 - 654,-,655 - 666,-,-,-,411 - 424,425 - 432,433 - 465,466 - 641,-,642 - 666,-,-,-,411 - 466,511 - 566,-,611 - 666,-,-,-,-,WK Batter
183,JR Hazlewood,Australia,5,13,161.54,10.5,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 463,-,-,464 - 523,524 - 564,565 - 645,646 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 423,424 - 455,456 - 531,532 - 563,564 - 635,-,636 - 666,-,-,Bowler
184,JR Philippe,Australia,10,126,109.52,13.8,411 - 514,515 - 531,532 - 536,541 - 545,546 - 642,643 - 655,656 - 664,665 - 666,-,-,-,-,411 - 462,463 - 536,-,541 - 666,-,-,-,-,-,411 - 462,463 - 536,-,541 - 666,-,-,411 - 514,515 - 523,524 - 532,-,533 - 652,-,653 - 661,662 - 666,-,411 - 435,436 - 462,463 - 466,511 - 521,522 - 636,641 - 644,645 - 666,-,-,411 - 435,436 - 462,463 - 466,511 - 521,522 - 636,641 - 644,645 - 666,-,-,
185,JT Smuts,South Africa,2,14,57.14,4.0,411 - 612,613 - 623,-,624 - 634,635 - 655,-,656 - 666,-,-,411 - 612,613 - 623,-,624 - 634,635 - 655,-,656 - 666,-,-,411 - 612,613 - 623,-,624 - 634,635 - 655,-,656 - 666,-,-,411 - 654,655 - 666,-,-,-,-,-,-,-,411 - 654,655 - 666,-,-,-,-,-,-,-,411 - 654,655 - 666,-,-,-,-,-,-,-,
186,Junaid Siddique (2),United Arab Emirates,3,25,112.0,14.0,411 - 516,-,-,521 - 535,536 - 666,-,-,-,-,411 - 516,-,-,521 - 535,536 - 666,-,-,-,-,411 - 455,456 - 465,466 - 515,516 - 525,526 - 615,616 - 646,651 - 666,-,-,411 - 516,-,-,521 - 535,536 - 666,-,-,-,-,411 - 516,-,-,521 - 535,536 - 666,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Bowler
187,K Birkenstock,Namibia,1,1,100.0,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,Batter
188,K Mishara,Sri Lanka,3,19,73.68,4.67,411 - 565,566 - 624,-,625 - 642,643 - 651,-,652 - 666,-,-,411 - 523,524 - 615,-,-,616 - 666,-,-,-,-,411 - 523,524 - 615,-,-,616 - 666,-,-,-,-,411 - 565,566 - 624,-,625 - 642,643 - 651,-,652 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,
189,K Rabada,South Africa,10,84,117.86,33.0,411 - 643,-,-,644 - 651,652 - 662,-,663 - 666,-,-,411 - 643,-,-,644 - 651,652 - 662,-,663 - 666,-,-,411 - 463,464 - 511,512 - 516,521 - 534,535 - 633,634 - 653,654 - 666,-,-,411 - 542,-,-,-,543 - 641,642 - 666,-,-,-,411 - 542,-,-,-,543 - 641,642 - 666,-,-,-,411 - 453,-,-,454 - 515,516 - 645,646 - 666,-,-,-,Bowler
190,K Sinclair,West Indies,2,9,33.33,3.0,411 - 516,-,-,-,521 - 666,-,-,-,-,411 - 516,-,-,-,521 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 516,-,-,-,521 - 666,-,-,-,-,411 - 516,-,-,-,521 - 666,-,-,-,-,411 - 661,662 - 663,-,-,664 - 666,-,-,-,-,
191,KA Jamieson,New Zealand,2,27,151.85,20.5,411 - 414,-,-,415 - 542,543 - 641,642 - 666,-,-,-,411 - 414,-,-,415 - 542,543 - 641,642 - 666,-,-,-,411 - 416,421 - 443,-,444 - 532,533 - 644,645 - 666,-,-,-,411 - 552,-,-,-,553 - 646,-,651 - 666,-,-,411 - 552,-,-,-,553 - 646,-,651 - 666,-,-,-,411 - 436,-,441 - 536,541 - 666,-,-,-,-,
192,KA Maharaj,South Africa,5,52,107.69,14.0,411 - 611,612 - 625,626 - 634,635 - 643,644 - 661,662 - 666,-,-,-,411 - 611,612 - 625,626 - 634,635 - 643,644 - 661,662 - 666,-,-,-,411 - 434,435 - 452,453 - 466,511 - 532,533 - 652,653 - 661,662 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,Bowler
193,KA Pollard,West Indies,21,259,132.43,26.38,411 - 433,-,434 - 631,-,632 - 666,-,-,-,-,411 - 513,514 - 522,523 - 524,525 - 526,531 - 636,641 - 653,654 - 666,-,-,411 - 413,414 - 421,422 - 441,442 - 465,466 - 632,633 - 646,651 - 666,-,-,411 - 433,-,434 - 631,-,632 - 666,-,-,-,-,411 - 516,521 - 526,531 - 534,535 - 535,536 - 643,644 - 665,666 - 666,-,-,411 - 545,546 - 613,-,614 - 641,642 - 666,-,-,-,-,
194,KD Karthik,India,19,181,150.83,27.3,411 - 462,-,463 - 524,525 - 612,613 - 644,645 - 655,656 - 666,-,-,411 - 543,-,544 - 544,545 - 561,562 - 645,646 - 663,664 - 666,-,-,411 - 433,434 - 452,453 - 465,466 - 533,534 - 641,642 - 656,661 - 666,-,-,411 - 462,-,463 - 524,525 - 612,613 - 644,645 - 655,656 - 666,-,-,411 - 531,532 - 536,541 - 554,555 - 563,564 - 661,-,662 - 666,-,-,411 - 423,-,-,424 - 562,563 - 666,-,-,-,-,WK Batter
195,KH Pandya,India,1,3,100.0,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,
196,KIC Asalanka,Sri Lanka,26,473,117.55,23.17,411 - 544,545 - 553,554 - 562,563 - 621,622 - 654,655 - 664,665 - 666,-,-,411 - 442,443 - 451,452 - 452,453 - 514,515 - 635,636 - 646,651 - 666,-,-,411 - 434,435 - 443,444 - 452,453 - 514,515 - 635,636 - 661,662 - 666,-,-,411 - 466,511 - 513,514 - 531,532 - 552,553 - 652,653 - 655,656 - 666,-,-,411 - 455,456 - 465,466 - 512,513 - 523,524 - 655,656 - 663,664 - 665,666 - 666,-,411 - 514,515 - 526,531 - 542,543 - 553,554 - 643,-,644 - 666,-,-,Allrounder
197,KJ Coetzer,Scotland,9,75,64.0,5.33,411 - 554,555 - 613,-,614 - 631,632 - 652,653 - 665,666 - 666,-,-,411 - 554,555 - 613,-,614 - 631,632 - 652,653 - 665,666 - 666,-,-,411 - 554,555 - 613,-,614 - 631,632 - 652,653 - 665,666 - 666,-,-,411 - 565,566 - 614,-,615 - 623,624 - 666,-,-,-,-,411 - 565,566 - 614,-,615 - 623,624 - 666,-,-,-,-,411 - 565,566 - 614,-,615 - 623,624 - 666,-,-,-,-,
198,KJ O'Brien,Ireland,14,274,109.49,21.43,411 - 526,531 - 535,536 - 541,542 - 556,561 - 645,646 - 661,662 - 665,666 - 666,-,411 - 445,446 - 454,455 - 461,462 - 515,516 - 633,634 - 654,655 - 666,-,-,411 - 533,-,-,-,534 - 666,-,-,-,-,411 - 463,464 - 532,-,533 - 561,562 - 654,655 - 666,-,-,-,411 - 436,441 - 444,445 - 452,453 - 465,466 - 642,643 - 645,646 - 665,666 - 666,-,-,411 - 536,-,-,541 - 666,-,-,-,-,
199,KL Rahul,India,20,419,133.41,31.06,411 - 526,531 - 534,535 - 543,544 - 564,565 - 646,651 - 656,661 - 666,-,-,411 - 431,432 - 441,442 - 462,463 - 525,526 - 656,661 - 663,664 - 666,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,411 - 455,456 - 513,514 - 522,523 - 545,546 - 663,-,664 - 666,-,-,-,411 - 413,414 - 422,423 - 431,432 - 651,652 - 652,653 - 666,-,-,-,-,411 - 536,-,541 - 666,-,-,-,-,Batter
200,KMA Paul,West Indies,2,23,82.61,19.0,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 514,-,-,-,515 - 666,-,-,-,-,411 - 634,635 - 642,-,-,643 - 654,655 - 666,-,-,-,411 - 634,635 - 642,-,-,643 - 654,655 - 666,-,-,-,-,-,-,411 - 521,522 - 666,-,-,-,-,
201,KNA Bandara,Sri Lanka,4,79,103.8,20.5,411 - 521,522 - 524,525 - 531,532 - 534,535 - 652,653 - 661,662 - 666,-,-,411 - 521,522 - 524,525 - 531,532 - 534,535 - 652,653 - 661,662 - 666,-,-,411 - 436,441 - 454,455 - 465,466 - 523,524 - 634,635 - 652,653 - 666,-,-,411 - 516,-,-,-,521 - 654,655 - 666,-,-,-,411 - 516,-,-,-,521 - 654,655 - 666,-,-,-,411 - 436,441 - 454,455 - 465,466 - 523,524 - 634,635 - 652,653 - 666,-,-,Batter
202,KP Meiyappan,United Arab Emirates,2,17,94.12,8.0,-,-,-,411 - 444,445 - 666,-,-,-,-,-,-,-,411 - 444,445 - 666,-,-,-,-,411 - 514,515 - 536,-,541 - 562,563 - 623,624 - 666,-,-,-,411 - 552,553 - 612,-,-,613 - 666,-,-,-,-,411 - 552,553 - 612,-,-,613 - 666,-,-,-,-,411 - 514,515 - 536,-,541 - 562,563 - 623,624 - 666,-,-,-,Bowler
203,KR Mayers,West Indies,17,292,130.82,22.47,411 - 521,522 - 525,526 - 536,541 - 613,614 - 644,645 - 661,662 - 666,-,-,411 - 431,432 - 444,445 - 461,462 - 526,531 - 645,646 - 666,-,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,411 - 564,565 - 613,614 - 622,623 - 632,633 - 661,662 - 664,-,665 - 666,-,411 - 524,525 - 541,542 - 551,552 - 553,554 - 656,661 - 664,665 - 666,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,Allrounder
204,KS Williamson,New Zealand,19,421,118.29,31.12,411 - 542,543 - 552,-,553 - 612,613 - 645,646 - 653,654 - 663,664 - 665,666 - 666,411 - 442,443 - 446,451 - 455,456 - 524,525 - 643,644 - 651,652 - 665,666 - 666,-,411 - 441,442 - 463,-,464 - 514,515 - 634,635 - 645,646 - 666,-,-,411 - 512,-,513 - 521,-,522 - 666,-,-,-,-,411 - 451,452 - 454,455 - 462,463 - 466,511 - 642,643 - 646,651 - 665,666 - 666,-,-,-,-,-,411 - 666,-,-,-,-,Batter c
205,KW Richardson,Australia,3,8,87.5,7.0,411 - 416,421 - 452,-,-,453 - 524,525 - 561,562 - 666,-,-,411 - 416,421 - 452,-,-,453 - 524,525 - 561,562 - 666,-,-,-,-,-,-,411 - 566,611 - 666,-,-,-,411 - 416,421 - 452,-,-,453 - 524,525 - 561,562 - 666,-,-,411 - 416,421 - 452,-,-,453 - 524,525 - 561,562 - 666,-,-,-,-,-,-,411 - 566,611 - 666,-,-,-,Bowler
206,Karim Janat,Afghanistan,11,164,118.29,21.56,411 - 545,546 - 551,552 - 562,563 - 615,616 - 652,653 - 654,655 - 666,-,-,411 - 434,435 - 443,444 - 465,466 - 522,523 - 644,645 - 661,662 - 666,-,-,-,411 - 422,423 - 434,435 - 463,464 - 625,-,626 - 666,-,-,411 - 441,442 - 452,453 - 463,464 - 553,554 - 666,-,-,-,-,411 - 514,515 - 525,-,526 - 532,533 - 655,656 - 656,661 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
207,Kashif Daud,United Arab Emirates,6,51,162.75,27.67,411 - 523,-,-,524 - 541,542 - 651,652 - 666,-,-,-,411 - 523,-,-,524 - 541,542 - 651,652 - 666,-,-,-,411 - 416,421 - 424,425 - 451,452 - 521,522 - 613,614 - 636,641 - 666,-,-,411 - 431,432 - 511,512 - 531,-,532 - 666,-,-,-,-,411 - 431,432 - 511,512 - 531,-,532 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,Allrounder
208,Khushdil Shah,Pakistan,13,174,97.13,15.36,411 - 554,-,-,-,555 - 666,-,-,-,-,411 - 535,536 - 541,542 - 543,544 - 553,554 - 661,662 - 666,-,-,-,-,411 - 436,441 - 443,444 - 466,511 - 646,651 - 666,-,-,-,411 - 554,-,-,-,555 - 666,-,-,-,-,411 - 522,523 - 526,531 - 534,535 - 541,542 - 654,655 - 661,662 - 666,-,-,411 - 414,415 - 443,-,-,444 - 611,612 - 641,642 - 666,-,-,Batter
209,Kuldeep Yadav,India,1,28,82.14,-,411 - 465,-,-,-,466 - 643,-,644 - 666,-,-,411 - 465,-,-,-,466 - 643,-,644 - 666,-,-,411 - 533,-,-,-,534 - 621,622 - 632,633 - 655,656 - 666,-,411 - 616,-,-,-,621 - 654,-,655 - 666,-,-,411 - 616,-,-,-,621 - 654,-,655 - 666,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,
210,L Gregory,England,1,11,90.91,10.0,411 - 423,-,-,-,424 - 634,-,635 - 666,-,-,411 - 423,-,-,-,424 - 634,-,635 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 446,-,-,-,451 - 622,-,623 - 666,-,-,411 - 446,-,-,-,451 - 622,-,623 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,
211,L Ngidi,South Africa,3,14,35.71,2.5,411 - 661,-,-,-,662 - 663,-,664 - 666,-,-,411 - 661,-,-,-,662 - 663,-,664 - 666,-,-,411 - 463,464 - 544,-,-,545 - 625,626 - 666,-,-,-,411 - 616,-,-,-,621 - 666,-,-,-,-,411 - 616,-,-,-,621 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
212,L Sipamla,South Africa,1,10,80.0,-,411 - 523,-,-,-,524 - 666,-,-,-,-,411 - 523,-,-,-,524 - 666,-,-,-,-,411 - 565,-,-,566 - 622,623 - 653,654 - 666,-,-,-,411 - 523,-,-,-,524 - 666,-,-,-,-,411 - 523,-,-,-,524 - 666,-,-,-,-,411 - 565,-,-,566 - 622,623 - 653,654 - 666,-,-,-,
213,L Tucker,Ireland,20,315,127.3,20.05,411 - 461,462 - 466,511 - 515,516 - 546,551 - 643,644 - 661,662 - 664,665 - 666,-,411 - 453,454 - 463,464 - 521,522 - 536,541 - 643,644 - 656,661 - 666,-,-,-,411 - 462,-,463 - 521,522 - 632,-,633 - 666,-,-,411 - 443,444 - 451,452 - 455,456 - 515,516 - 654,655 - 662,663 - 666,-,-,411 - 444,445 - 455,456 - 456,461 - 516,521 - 643,644 - 651,652 - 666,-,-,-,411 - 444,445 - 522,523 - 555,-,-,556 - 666,-,-,WK Batter
214,LA Dawson,England,3,27,133.33,12.0,411 - 553,-,-,-,554 - 635,636 - 645,646 - 666,-,-,411 - 553,-,-,-,554 - 635,636 - 645,646 - 666,-,-,411 - 424,425 - 452,453 - 464,465 - 613,614 - 641,642 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 424,425 - 452,453 - 464,465 - 613,614 - 641,642 - 666,-,-,-,
215,LB Williams,South Africa,2,7,57.14,-,411 - 514,-,-,-,515 - 644,645 - 666,-,-,-,411 - 514,-,-,-,515 - 644,645 - 666,-,-,-,411 - 514,-,-,-,515 - 644,645 - 666,-,-,-,411 - 514,-,-,-,515 - 644,645 - 666,-,-,-,411 - 514,-,-,-,515 - 644,645 - 666,-,-,-,411 - 514,-,-,-,515 - 644,645 - 666,-,-,-,
216,LD Chandimal,Sri Lanka,14,259,101.16,23.82,411 - 511,512 - 524,-,525 - 543,544 - 653,654 - 656,661 - 666,-,-,411 - 453,454 - 462,463 - 465,466 - 521,522 - 653,654 - 662,663 - 666,-,-,411 - 426,431 - 441,442 - 445,446 - 464,465 - 633,634 - 641,642 - 663,664 - 666,-,411 - 621,-,-,-,622 - 661,-,662 - 663,-,664 - 666,411 - 466,511 - 513,514 - 521,522 - 526,531 - 656,661 - 664,665 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,
217,LD Madushanka,Sri Lanka,1,3,33.33,1.0,411 - 516,521 - 613,-,-,614 - 666,-,-,-,-,411 - 516,521 - 613,-,-,614 - 666,-,-,-,-,411 - 516,521 - 613,-,-,614 - 666,-,-,-,-,411 - 516,521 - 613,-,-,614 - 666,-,-,-,-,411 - 516,521 - 613,-,-,614 - 666,-,-,-,-,411 - 516,521 - 613,-,-,614 - 666,-,-,-,-,
218,LH Ferguson,New Zealand,1,8,175.0,14.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 433,434 - 464,465 - 565,-,566 - 635,636 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 433,434 - 464,465 - 565,-,566 - 635,636 - 666,-,-,-,Bowler
219,LM Jongwe,Zimbabwe,21,195,117.44,15.27,411 - 535,536 - 541,-,542 - 565,566 - 661,-,662 - 666,-,-,411 - 535,536 - 541,-,542 - 565,566 - 661,-,662 - 666,-,-,411 - 453,454 - 511,512 - 515,516 - 534,535 - 634,635 - 651,652 - 666,-,-,411 - 616,621 - 622,623 - 623,624 - 625,626 - 666,-,-,-,-,411 - 616,621 - 622,623 - 623,624 - 625,626 - 666,-,-,-,-,411 - 434,435 - 513,514 - 552,-,553 - 631,-,632 - 666,-,-,Bowler
220,LMP Simmons,West Indies,14,295,113.9,24.0,411 - 534,535 - 536,541 - 551,552 - 615,616 - 651,652 - 662,663 - 665,666 - 666,-,411 - 531,532 - 544,545 - 546,551 - 563,564 - 653,654 - 664,665 - 666,-,-,411 - 531,532 - 544,545 - 546,551 - 563,564 - 653,654 - 664,665 - 666,-,-,411 - 552,553 - 556,561 - 611,612 - 623,624 - 663,-,664 - 666,-,-,411 - 545,546 - 554,555 - 561,-,562 - 661,662 - 663,664 - 666,-,-,411 - 545,546 - 554,555 - 561,-,562 - 661,662 - 663,664 - 666,-,-,
221,LS Livingstone,England,17,223,157.85,23.47,411 - 424,425 - 445,446 - 466,511 - 552,553 - 645,646 - 655,656 - 666,-,-,411 - 426,431 - 435,436 - 462,463 - 522,523 - 641,642 - 652,653 - 666,-,-,-,411 - 434,435 - 446,451 - 466,511 - 614,615 - 646,651 - 666,-,-,411 - 424,425 - 445,446 - 466,511 - 552,553 - 645,646 - 655,656 - 666,-,-,411 - 442,443 - 446,451 - 461,462 - 465,466 - 645,646 - 663,664 - 665,666 - 666,-,411 - 434,435 - 513,514 - 552,-,553 - 631,632 - 666,-,-,-,Allrounder
222,LV van Beek,Netherlands,5,28,71.43,6.67,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 426,431 - 443,-,-,444 - 641,-,642 - 666,-,-,411 - 533,534 - 612,-,-,613 - 651,-,652 - 666,-,-,411 - 533,534 - 612,-,-,613 - 651,-,652 - 666,-,-,411 - 453,-,-,-,454 - 623,-,624 - 666,-,-,Bowler
223,Liton Das,Bangladesh,28,485,121.65,21.07,411 - 442,443 - 452,453 - 455,456 - 526,531 - 635,636 - 655,656 - 665,666 - 666,-,411 - 455,456 - 461,462 - 466,511 - 522,523 - 642,643 - 656,661 - 666,-,-,411 - 451,452 - 514,-,515 - 541,542 - 631,632 - 643,644 - 666,-,-,411 - 533,534 - 543,-,544 - 612,613 - 653,654 - 656,661 - 665,666 - 666,-,411 - 434,435 - 446,451 - 455,456 - 513,514 - 645,646 - 646,651 - 666,-,-,411 - 451,452 - 514,-,515 - 541,542 - 631,632 - 643,644 - 666,-,-,WK Batter
224,M Bhanuka,Sri Lanka,3,65,98.46,21.33,411 - 523,-,-,524 - 546,551 - 624,625 - 662,663 - 666,-,-,411 - 465,-,-,466 - 532,533 - 554,555 - 621,622 - 666,-,-,411 - 465,-,-,466 - 532,533 - 554,555 - 621,622 - 666,-,-,411 - 444,445 - 462,-,463 - 516,521 - 666,-,-,-,-,411 - 443,444 - 462,-,463 - 511,512 - 642,-,643 - 666,-,-,411 - 443,444 - 462,-,463 - 511,512 - 642,-,643 - 666,-,-,
225,M Jansen,South Africa,1,17,70.59,12.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 665,-,-,-,-,666 - 666,-,-,-,411 - 665,-,-,-,-,666 - 666,-,-,-,411 - 665,-,-,-,-,666 - 666,-,-,-,
